[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   bJetCandP4 pt = 355.78, y =   1.40, phi =   0.19, m =  72.09
   bJetCand2P4 pt = 355.78, y =   1.40, phi =   0.19, m =  72.09
   nuCandP4 pt =  23.73, y =   0.00, phi =   1.15, m =   0.00
   Lepton1 pt = 175.71, y =  -1.13, phi =   2.86, m =   0.14
   Lepton2 pt =  97.26, y =   1.14, phi =  -0.91, m =   0.06
   bJetCandP4 pt = 114.74, y =  -0.35, phi =   2.92, m =  13.26
   bJetCand2P4 pt =  72.46, y =   1.01, phi =  -0.59, m =  11.72
   nuCandP4 pt = 118.41, y =   0.00, phi =   2.55, m =  -0.02
   Lepton1 pt =  43.21, y =  -0.27, phi =  -0.24, m =   0.14
   Lepton2 pt =  41.15, y =  -1.49, phi =  -2.17, m =   0.14
   bJetCandP4 pt = 203.34, y =  -0.44, phi =  -0.31, m =  42.82
   bJetCand2P4 pt = 487.27, y =  -1.57, phi =   2.99, m =  89.25
   nuCandP4 pt =  77.02, y =   0.00, phi =   2.62, m =   0.01
   Lepton1 pt = 192.59, y =  -0.91, phi =  -0.04, m =   0.14
   Lepton2 pt =  48.07, y =   0.73, phi =   2.97, m =  -0.02
   bJetCandP4 pt =  67.89, y =  -0.69, phi =  -2.68, m =  13.41
   bJetCand2P4 pt =  90.45, y =   0.08, phi =  -2.59, m =   7.03
   nuCandP4 pt =  60.67, y =   0.00, phi =   1.83, m =   0.01
   Lepton1 pt =  49.24, y =  -0.95, phi =   0.23, m =   0.14
   Lepton2 pt = 192.90, y =   1.05, phi =  -2.19, m =  -0.05
   bJetCandP4 pt =  62.27, y =  -1.22, phi =  -0.47, m =   8.13
   bJetCand2P4 pt = 171.86, y =   1.28, phi =  -2.05, m =  27.54
   nuCandP4 pt =  66.67, y =   0.00, phi =   1.80, m =  -0.02
   Lepton1 pt =  41.88, y =   1.96, phi =  -0.80, m =   0.14
   Lepton2 pt =  31.78, y =  -0.87, phi =  -0.38, m =   0.14
   bJetCandP4 pt =  47.90, y =   0.28, phi =   0.53, m =   7.39
   bJetCand2P4 pt = 238.36, y =  -0.98, phi =   1.02, m =  28.83
   nuCandP4 pt = 100.41, y =   0.00, phi =   0.09, m =   0.02
   Lepton1 pt =  69.64, y =   0.06, phi =   1.36, m =   0.14
   Lepton2 pt =  53.25, y =   1.08, phi =  -0.46, m =   0.14
   bJetCandP4 pt = 272.49, y =   0.30, phi =   0.02, m =  20.16
   bJetCand2P4 pt = 272.49, y =   0.30, phi =   0.02, m =  20.16
   nuCandP4 pt = 247.21, y =   0.00, phi =   0.21, m =   0.03
    ---> Event 4000
   Lepton1 pt = 138.07, y =  -0.09, phi =   1.00, m =  -0.04
   Lepton2 pt = 135.37, y =  -1.82, phi =  -2.49, m =   0.06
   bJetCandP4 pt = 201.16, y =  -0.54, phi =   1.53, m =  20.95
   bJetCand2P4 pt =  43.01, y =  -0.72, phi =  -3.04, m =   9.30
   nuCandP4 pt = 254.08, y =   0.00, phi =  -2.71, m =   0.01
   Lepton1 pt =  47.52, y =   0.17, phi =   1.36, m =   0.14
   Lepton2 pt = 110.81, y =   0.19, phi =  -2.44, m =   0.04
   bJetCandP4 pt = 291.50, y =  -0.06, phi =   1.45, m =  58.33
   bJetCand2P4 pt = 177.09, y =   0.94, phi =  -2.43, m =  14.02
   nuCandP4 pt = 230.30, y =   0.00, phi =   1.87, m =   0.05
   Lepton1 pt = 258.13, y =  -0.96, phi =  -0.12, m =   0.14
   Lepton2 pt =  79.51, y =  -0.45, phi =   3.06, m =   0.01
   bJetCandP4 pt = 365.01, y =  -0.99, phi =  -0.33, m =  33.69
   bJetCand2P4 pt =  31.41, y =  -0.75, phi =  -2.89, m =   5.41
   nuCandP4 pt = 214.34, y =   0.00, phi =   2.49, m =   0.03
   Lepton1 pt = 171.55, y =  -1.16, phi =   2.52, m =   0.14
   Lepton2 pt =  92.08, y =  -0.33, phi =  -0.91, m =   0.03
   bJetCandP4 pt = 171.38, y =  -1.18, phi =   2.04, m =  14.40
   bJetCand2P4 pt = 129.83, y =   0.31, phi =  -0.84, m =  20.11
   nuCandP4 pt = 127.13, y =   0.00, phi =  -0.38, m =   0.01
   Lepton1 pt =  90.48, y =   1.81, phi =   1.38, m =   0.14
   Lepton2 pt =  47.81, y =  -1.87, phi =  -1.81, m =   0.14
   bJetCandP4 pt =  50.98, y =  -1.42, phi =   3.08, m =   9.09
   bJetCand2P4 pt =  50.98, y =  -1.42, phi =   3.08, m =   9.09
   nuCandP4 pt =  85.74, y =   0.00, phi =  -1.63, m =  -0.01
   Lepton1 pt = 103.80, y =   0.62, phi =  -1.95, m =   0.14
   Lepton2 pt =  37.31, y =   0.63, phi =  -1.97, m =   0.14
   bJetCandP4 pt = 642.39, y =   0.79, phi =  -1.87, m =  77.19
   bJetCand2P4 pt = 642.39, y =   0.79, phi =  -1.87, m =  77.19
   nuCandP4 pt =  99.89, y =   0.00, phi =  -1.89, m =   0.02
    ---> Event 5000
   Lepton1 pt = 325.87, y =   1.24, phi =  -1.27, m =   0.06
   Lepton2 pt = 142.46, y =  -0.10, phi =   1.73, m =  -0.01
   bJetCandP4 pt =  30.85, y =   0.70, phi =  -2.44, m =   6.98
   bJetCand2P4 pt =  53.19, y =  -0.52, phi =   2.61, m =  12.06
   nuCandP4 pt = 150.85, y =   0.00, phi =   1.48, m =  -0.05
   Lepton1 pt =  46.54, y =   0.63, phi =   2.17, m =   0.14
   Lepton2 pt =  32.77, y =   0.31, phi =   1.93, m =   0.14
   bJetCandP4 pt = 263.59, y =   0.37, phi =   1.99, m =  37.09
   bJetCand2P4 pt = 263.59, y =   0.37, phi =   1.99, m =  37.09
   nuCandP4 pt = 648.67, y =   0.00, phi =   1.71, m =   0.16
   Lepton1 pt = 168.52, y =   0.01, phi =  -0.22, m =   0.14
   Lepton2 pt =  85.05, y =  -0.13, phi =  -0.42, m =   0.14
   bJetCandP4 pt = 446.47, y =  -0.10, phi =  -0.35, m =  80.99
   bJetCand2P4 pt = 446.47, y =  -0.10, phi =  -0.35, m =  80.99
   nuCandP4 pt = 239.19, y =   0.00, phi =  -0.58, m =  -0.04
   Lepton1 pt = 136.36, y =   0.03, phi =  -1.24, m =   0.14
   Lepton2 pt =  32.56, y =   0.04, phi =  -1.26, m =   0.14
   bJetCandP4 pt = 539.49, y =   0.13, phi =  -1.16, m = 113.66
   bJetCand2P4 pt = 539.49, y =   0.13, phi =  -1.16, m = 113.66
   nuCandP4 pt = 270.06, y =   0.00, phi =  -1.33, m =  -0.05
   Lepton1 pt = 124.73, y =  -1.50, phi =   2.41, m =   0.14
   Lepton2 pt = 118.30, y =  -1.38, phi =   2.07, m =   0.14
   bJetCandP4 pt = 373.18, y =  -1.40, phi =   2.13, m =  54.77
   bJetCand2P4 pt = 373.18, y =  -1.40, phi =   2.13, m =  54.77
   nuCandP4 pt = 333.36, y =   0.00, phi =   2.29, m =  -0.04
   Lepton1 pt =  89.58, y =   1.27, phi =  -0.64, m =   0.14
   Lepton2 pt =  82.36, y =   1.91, phi =  -0.78, m =  -0.05
   bJetCandP4 pt = 250.42, y =   1.33, phi =  -0.72, m =  44.30
   bJetCand2P4 pt = 250.42, y =   1.33, phi =  -0.72, m =  44.30
   nuCandP4 pt = 179.17, y =   0.00, phi =   2.67, m =   0.03
   Lepton1 pt = 108.12, y =   1.86, phi =   1.45, m =   0.14
   Lepton2 pt =  72.30, y =  -0.76, phi =  -1.35, m =   0.14
   bJetCandP4 pt = 112.47, y =   1.29, phi =   1.72, m =  14.42
   bJetCand2P4 pt = 191.78, y =  -0.68, phi =  -1.90, m =  17.83
   nuCandP4 pt =  96.96, y =   0.00, phi =   1.43, m =  -0.02
   Lepton1 pt =  80.36, y =   1.76, phi =  -1.76, m =   0.14
