[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   nuCandP4 pt =   6.31, y =    nan, phi =   2.34, m = -21.68
   theLepton pt =  50.26, y =   1.29, phi =  -1.94, m =   0.14
   bJetCandP4 pt = 791.30, y =   1.03, phi =  -1.92, m = 142.80
   hadTopCandP4 pt = 827.38, y =   1.05, phi =  -1.92, m = 176.22
   nuCandP4 pt = 124.06, y =   0.37, phi =  -1.66, m = -43.77
   theLepton pt =  34.16, y =  -0.56, phi =   0.27, m =   0.14
   bJetCandP4 pt = 449.88, y =  -0.58, phi =   0.16, m =  89.42
   hadTopCandP4 pt = 578.13, y =  -0.55, phi =   0.26, m = 180.30
   nuCandP4 pt = 162.27, y =  -0.18, phi =  -1.58, m = -29.42
   theLepton pt =  41.92, y =  -0.91, phi =  -0.98, m =   0.14
   bJetCandP4 pt = 814.51, y =  -0.96, phi =  -1.15, m = 152.45
   hadTopCandP4 pt = 860.43, y =  -0.95, phi =  -1.14, m = 186.44
   nuCandP4 pt =  38.24, y =   1.75, phi =  -1.31, m = -35.98
   theLepton pt =  37.14, y =   1.49, phi =   1.49, m =   0.14
   bJetCandP4 pt = 752.05, y =   1.41, phi =   1.20, m = 146.26
   hadTopCandP4 pt = 867.20, y =   1.43, phi =   1.21, m = 243.01
   nuCandP4 pt =  52.56, y =  -0.14, phi =   1.63, m =  -7.41
   theLepton pt =  51.94, y =  -0.14, phi =  -1.83, m =  -0.01
   bJetCandP4 pt = 336.66, y =  -0.19, phi =  -1.13, m =  23.14
   hadTopCandP4 pt = 442.55, y =  -0.25, phi =  -1.24, m = 154.38
   nuCandP4 pt = 530.59, y =  -0.14, phi =  -1.34, m = -72.86
   theLepton pt =  55.14, y =   0.16, phi =   2.43, m =   0.14
   bJetCandP4 pt = 526.05, y =   0.09, phi =   2.35, m = 109.11
   hadTopCandP4 pt = 673.20, y =   0.05, phi =   2.39, m = 187.08
   nuCandP4 pt =  39.93, y =    nan, phi =   1.64, m = -64.18
   theLepton pt = 174.97, y =   0.84, phi =   2.89, m =   0.14
   bJetCandP4 pt = 652.70, y =   0.91, phi =  -3.05, m =  98.28
   hadTopCandP4 pt = 883.21, y =   0.91, phi =  -3.10, m = 223.02
   nuCandP4 pt =  95.75, y =  -0.28, phi =  -1.32, m = -25.90
   theLepton pt =  68.54, y =   0.44, phi =  -1.37, m =   0.14
   bJetCandP4 pt = 539.02, y =   0.26, phi =  -1.29, m = 103.27
   hadTopCandP4 pt = 697.17, y =   0.24, phi =  -1.35, m = 186.00
   nuCandP4 pt =  24.46, y =    nan, phi =  -0.91, m = -39.43
   theLepton pt =  68.19, y =  -0.07, phi =  -2.50, m =   0.14
   bJetCandP4 pt = 808.86, y =   0.06, phi =  -2.44, m = 102.54
   hadTopCandP4 pt = 901.03, y =   0.06, phi =  -2.44, m = 141.59
   nuCandP4 pt =  36.20, y =    nan, phi =  -2.23, m = -68.22
   theLepton pt = 209.50, y =   1.63, phi =  -1.83, m =  -0.16
   bJetCandP4 pt =  78.85, y =   1.38, phi =  -2.77, m =  13.82
   hadTopCandP4 pt = 474.99, y =   0.20, phi =   2.42, m = 206.53
   nuCandP4 pt = 151.53, y =    nan, phi =  -2.29, m = -351.88
   theLepton pt =  47.44, y =  -1.97, phi =  -2.67, m =   0.14
   bJetCandP4 pt = 769.21, y =  -1.80, phi =  -2.84, m = 142.21
   hadTopCandP4 pt = 825.45, y =  -1.81, phi =  -2.82, m = 181.91
   nuCandP4 pt =  84.21, y =  -1.34, phi =  -2.90, m = -73.33
   theLepton pt =  34.89, y =  -0.88, phi =   1.48, m =   0.14
   bJetCandP4 pt = 388.02, y =  -0.93, phi =   1.56, m =  67.26
   hadTopCandP4 pt = 582.17, y =  -0.85, phi =   1.40, m = 212.81
   nuCandP4 pt = 158.34, y =   0.14, phi =   1.31, m = -22.40
   theLepton pt =  72.73, y =  -1.80, phi =  -0.55, m =   0.14
   bJetCandP4 pt = 257.91, y =  -1.56, phi =  -1.16, m =  27.14
   hadTopCandP4 pt = 491.70, y =   0.26, phi =   3.02, m = 156.93
   nuCandP4 pt = 360.23, y =    nan, phi =  -1.07, m = -1053.91
   theLepton pt =  40.93, y =  -1.30, phi =   2.11, m =   0.14
   bJetCandP4 pt = 290.97, y =  -1.38, phi =   1.98, m =  64.61
   hadTopCandP4 pt = 569.02, y =  -1.30, phi =   2.18, m = 183.19
   nuCandP4 pt =   7.11, y =    nan, phi =  -0.04, m = -19.77
    ---> Event 2000
   theLepton pt =  43.30, y =  -0.84, phi =   2.59, m =   0.14
   bJetCandP4 pt = 761.22, y =  -0.65, phi =   2.49, m = 156.50
   hadTopCandP4 pt = 831.57, y =  -0.66, phi =   2.49, m = 194.46
   nuCandP4 pt =  85.50, y =   0.43, phi =   2.51, m = -34.88
   theLepton pt =  66.13, y =   1.58, phi =   1.94, m =  -0.04
   bJetCandP4 pt =  35.88, y =   1.03, phi =   1.42, m =   4.80
   hadTopCandP4 pt = 890.31, y =   0.60, phi =  -1.30, m = 223.07
   nuCandP4 pt =  39.92, y =   0.87, phi =  -3.01, m = -28.02
   theLepton pt =  33.79, y =   2.08, phi =   1.37, m =   0.14
   bJetCandP4 pt = 318.66, y =   1.91, phi =   1.37, m =  68.21
   hadTopCandP4 pt = 569.33, y =   1.77, phi =   1.51, m = 183.69
   nuCandP4 pt =   7.29, y =    nan, phi =  -3.05, m = -10.60
   theLepton pt =  81.64, y =  -0.72, phi =   3.08, m =  -0.03
   bJetCandP4 pt = 352.11, y =  -0.22, phi =   2.97, m =  37.56
   hadTopCandP4 pt = 599.24, y =  -0.20, phi =   3.05, m = 250.74
   nuCandP4 pt = 265.17, y =  -0.41, phi =  -2.78, m = -102.03
   theLepton pt =  50.27, y =   0.51, phi =  -0.58, m =   0.14
   bJetCandP4 pt = 738.55, y =   0.71, phi =  -0.60, m = 143.66
   hadTopCandP4 pt = 875.88, y =   0.69, phi =  -0.59, m = 192.07
   nuCandP4 pt =  36.21, y =  -0.75, phi =   1.08, m = -22.96
   theLepton pt =  85.65, y =  -0.29, phi =   0.61, m =   0.14
   bJetCandP4 pt = 474.29, y =  -0.32, phi =   0.52, m =  62.55
   hadTopCandP4 pt = 695.99, y =  -0.39, phi =   0.50, m = 223.56
   nuCandP4 pt = 292.71, y =   0.22, phi =   0.57, m = -63.46
   theLepton pt =  73.95, y =   0.37, phi =  -2.16, m =   0.14
   bJetCandP4 pt = 606.84, y =   0.44, phi =  -2.21, m = 100.58
   hadTopCandP4 pt = 790.05, y =   0.41, phi =  -2.16, m = 199.95
   nuCandP4 pt = 133.69, y =  -0.44, phi =  -2.03, m = -55.70
   theLepton pt = 121.45, y =   0.28, phi =  -1.38, m =   0.14
   bJetCandP4 pt = 490.51, y =  -0.05, phi =  -1.33, m =  88.58
   hadTopCandP4 pt = 676.18, y =   0.02, phi =  -1.39, m = 187.07
   nuCandP4 pt =  40.47, y =  -0.70, phi =  -0.62, m = -24.52
   theLepton pt = 108.73, y =   0.29, phi =  -1.17, m =  -0.04
   bJetCandP4 pt = 148.85, y =   0.08, phi =  -0.66, m =   7.21
   hadTopCandP4 pt = 556.74, y =  -0.09, phi =  -0.66, m = 219.30
   nuCandP4 pt = 255.08, y =  -0.19, phi =  -1.22, m = -48.55
    ---> Event 3000
   theLepton pt =  51.82, y =   0.52, phi =  -1.90, m =   0.01
   bJetCandP4 pt = 387.31, y =  -0.12, phi =  -2.05, m =  44.66
   hadTopCandP4 pt = 564.23, y =  -0.16, phi =  -2.04, m = 201.62
   nuCandP4 pt = 245.10, y =  -0.12, phi =  -1.62, m = -29.81
   theLepton pt =  31.76, y =   0.28, phi =   0.01, m =   0.00
   bJetCandP4 pt =  59.42, y =   1.10, phi =  -0.21, m =  10.71
   hadTopCandP4 pt = 466.98, y =  -0.09, phi =   2.41, m = 170.60
   nuCandP4 pt = 161.03, y =  -0.10, phi =  -3.10, m = -16.70
   theLepton pt = 238.65, y =  -0.09, phi =   0.23, m =   0.14
   bJetCandP4 pt = 319.92, y =  -0.16, phi =   0.48, m =  16.95
   hadTopCandP4 pt = 615.21, y =  -0.10, phi =   0.33, m = 143.92
   nuCandP4 pt = 181.22, y =   0.21, phi =  -0.01, m = -37.78
   theLepton pt =  75.91, y =   0.88, phi =  -1.87, m =  -0.01
   bJetCandP4 pt = 747.32, y =   1.46, phi =  -1.38, m = 128.10
   hadTopCandP4 pt = 868.73, y =   1.42, phi =  -1.41, m = 286.40
   nuCandP4 pt = 135.63, y =   2.13, phi =  -1.01, m = -131.83
   theLepton pt =  33.55, y =  -0.50, phi =   1.39, m =   0.14
   bJetCandP4 pt = 818.59, y =  -0.30, phi =   1.50, m = 130.38
   hadTopCandP4 pt = 908.04, y =  -0.32, phi =   1.53, m = 191.71
   nuCandP4 pt =  51.62, y =   0.16, phi =  -0.87, m =  -8.23
   theLepton pt =  64.75, y =   0.86, phi =   0.83, m =   0.14
   bJetCandP4 pt = 799.80, y =   1.05, phi =   0.97, m = 145.92
   hadTopCandP4 pt = 929.04, y =   0.99, phi =   0.93, m = 252.87
   nuCandP4 pt =  50.32, y =   0.09, phi =  -2.77, m =  -4.59
   theLepton pt = 257.24, y =  -1.36, phi =  -1.64, m =   0.14
   bJetCandP4 pt =  39.67, y =  -1.41, phi =  -0.20, m =   8.37
   hadTopCandP4 pt = 926.47, y =  -0.85, phi =   1.52, m = 214.39
   nuCandP4 pt = 671.29, y =    nan, phi =  -1.60, m = -979.61
   theLepton pt =  30.65, y =  -0.70, phi =  -1.69, m =   0.14
   bJetCandP4 pt = 552.84, y =  -0.78, phi =  -1.69, m =  81.22
   hadTopCandP4 pt = 626.71, y =  -0.76, phi =  -1.75, m = 155.20
   nuCandP4 pt = 149.73, y =   0.47, phi =  -1.69, m = -65.14
   theLepton pt =  49.46, y =   0.30, phi =   1.22, m =   0.14
   bJetCandP4 pt = 965.12, y =   0.16, phi =   1.50, m = 197.44
   hadTopCandP4 pt = 1040.17, y =   0.17, phi =   1.48, m = 239.24
   nuCandP4 pt =  87.22, y =  -0.08, phi =  -1.97, m =  -6.67
   theLepton pt = 271.76, y =  -0.80, phi =  -2.57, m =   0.14
   bJetCandP4 pt = 586.99, y =  -0.60, phi =  -2.52, m = 113.86
   hadTopCandP4 pt = 919.82, y =  -0.66, phi =  -2.53, m = 208.55
   nuCandP4 pt =  27.34, y =   0.02, phi =  -2.17, m =  -0.52
